id,listing_url,name,picture_url,latitude,longitude,accommodates,beds,price,cleaning_fee,number_of_reviews,review_scores_rating,reviews_per_month,minimum_nights
3781,https://www.airbnb.com/rooms/3781,HARBORSIDE-Walk to subway,https://a0.muscache.com/im/pictures/24670/b2de0442_original.jpg?aki_policy=large,42.36413,-71.02991,2,1,125,75,16,99,0.27,28
5506,https://www.airbnb.com/rooms/5506,**$49 Special **   Private! Minutes to center!,https://a0.muscache.com/im/pictures/1598e8b6-5a55-4a6b-8d16-e0d8a21e51a8.jpg?aki_policy=large,42.32981,-71.09559,2,1,145,60,107,95,0.78,3
6695,https://www.airbnb.com/rooms/6695,$99 Special!! Home Away! Condo,https://a0.muscache.com/im/pictures/38ac4797-e7a4-48d8-84a5-e1f724f4282b.jpg?aki_policy=large,42.32994,-71.09351,4,1,169,80,115,96,0.87,3
8789,https://www.airbnb.com/rooms/8789,Curved Glass Studio/1bd facing Park,https://a0.muscache.com/im/pictures/32210/7fdd2fd8_original.jpg?aki_policy=large,42.35919,-71.06265,2,1,99,250,25,93,0.35,91
10730,https://www.airbnb.com/rooms/10730,Bright 1bed facing Golden Dome,https://a0.muscache.com/im/pictures/45296/e534114b_original.jpg?aki_policy=large,42.3584,-71.06185,2,1,150,250,32,96,0.25,91
10813,https://www.airbnb.com/rooms/10813,"Back Bay Apt-blocks to subway, Newbury St, The Pru",https://a0.muscache.com/im/pictures/20b5b9c9-e1f4-43a5-9689-1293a4507510.jpg?aki_policy=large,42.34961,-71.08904,3,1,150,150,80,98,2.57,28
10986,https://www.airbnb.com/rooms/10986,Waterfront/North End Furnished Large Studio Apt,https://a0.muscache.com/im/pictures/46993/24281bdf_original.jpg?aki_policy=large,42.36352,-71.05075,2,1,150,150,2,0,0.04,28
16384,https://www.airbnb.com/rooms/16384,Small Room in Cambridge Kendall MIT,https://a0.muscache.com/im/pictures/506512/5d8f63bd_original.jpg?aki_policy=large,42.3581,-71.07132,1,1,50,0,0,0,0,91
18711,https://www.airbnb.com/rooms/18711,The Dorset Redline | 3BR 1BA | Walk to Redline for Mass General!,https://a0.muscache.com/im/pictures/509158a7-36bc-43f3-b068-fcdb9329c13d.jpg?aki_policy=large,42.32212,-71.06096,7,3,128,175,52,86,0.42,32
22195,https://www.airbnb.com/rooms/22195,Copley House - Premium Studio,https://a0.muscache.com/im/pictures/26b7d56a-0006-4684-9aed-e16e2ce6b394.jpg?aki_policy=large,42.34558,-71.0793,4,2,115,0,21,67,0.17,1
22354,https://www.airbnb.com/rooms/22354,COPLEY SQ...19TH C.TWNHSE SUNNY RM,https://a0.muscache.com/im/pictures/75399104/fbf9c621_original.jpg?aki_policy=large,42.34496,-71.07486,1,1,148,32,316,89,2.93,2
29765,https://www.airbnb.com/rooms/29765,"Luxury suite, Moroccan furnishings",https://a0.muscache.com/im/pictures/621420/77d899c1_original.jpg?aki_policy=large,42.37754,-71.06642,2,1,221,25,93,99,0.76,2
40601,https://www.airbnb.com/rooms/40601,Private room & bath - Jamaica Plain,https://a0.muscache.com/im/pictures/508984/678a928d_original.jpg?aki_policy=large,42.3151,-71.11108,2,1,95,0,76,99,0.64,28
45987,https://www.airbnb.com/rooms/45987,Gorgeous Garden Studio Charlestown,https://a0.muscache.com/im/pictures/261758/678964ca_original.jpg?aki_policy=large,42.37404,-71.06118,3,1,125,100,130,93,1.09,3
60029,https://www.airbnb.com/rooms/60029,Room in geographical heart of Hub,https://a0.muscache.com/im/pictures/3bf41756-488c-43b6-a66d-1e752ba09082.jpg?aki_policy=large,42.32584,-71.08927,2,1,75,0,141,95,1.23,2
60356,https://www.airbnb.com/rooms/60356,Bookcase 1bd facing Boston Common,https://a0.muscache.com/im/pictures/db713d35-41b8-43b0-aecb-af30cbd0e583.jpg?aki_policy=large,42.35712,-71.0618,2,1,175,250,18,97,0.22,32
67774,https://www.airbnb.com/rooms/67774,Corner 1 bed facing Golden Dome,https://a0.muscache.com/im/pictures/95ad5d58-7fc3-4f26-a88a-35e1f2b58e6b.jpg?aki_policy=large,42.35867,-71.06332,3,1,110,250,44,96,0.48,32
69369,https://www.airbnb.com/rooms/69369,Room in Boston off the beaten path,https://a0.muscache.com/im/pictures/af627bcd-0a16-47f6-a591-4a5765a53b77.jpg?aki_policy=large,42.32614,-71.0884,2,1,79,0,120,95,1.09,2
77681,https://www.airbnb.com/rooms/77681,Waterfall Room: Bunker Hill B&B,https://a0.muscache.com/im/pictures/639949/96d3c990_original.jpg?aki_policy=large,42.37853,-71.06177,2,1,140,0,54,87,0.51,2
95453,https://www.airbnb.com/rooms/95453,Royal Street Studio: Allston,https://a0.muscache.com/im/pictures/646724/528788dc_original.jpg?aki_policy=large,42.35937,-71.13156,2,1,175,0,41,95,0.37,5
163941,https://www.airbnb.com/rooms/163941,$99* SPECIAL* 2 bed ApT! Location!,https://a0.muscache.com/im/pictures/5f54c0a9-9f39-4f2f-972b-00900563f9ab.jpg?aki_policy=large,42.32965,-71.09503,6,3,225,85,228,93,2.12,3
169430,https://www.airbnb.com/rooms/169430,Stylish + Comfortable Urban Victorian,https://a0.muscache.com/im/pictures/24501d8e-ea00-4f6e-ba19-bb4797526c58.jpg?aki_policy=large,42.32158,-71.09047,10,5,200,80,149,92,1.39,2
182613,https://www.airbnb.com/rooms/182613,Entire 2 BR! Clean condo 3 beds Charlestown Boston,https://a0.muscache.com/im/pictures/3293f722-4a56-46bc-9519-cdacf359f764.jpg?aki_policy=large,42.37739,-71.06044,6,4,169,150,106,96,0.98,91
190170,https://www.airbnb.com/rooms/190170,In-Law Suite w/Room to Spare :-),https://a0.muscache.com/im/pictures/1251170/4069d029_original.jpg?aki_policy=large,42.31039,-71.06907,4,1,55,100,69,90,0.64,7
197727,https://www.airbnb.com/rooms/197727,"Great Boston neighborhood , Jamaica Plain",https://a0.muscache.com/im/pictures/1b272a66-798d-45c8-b1b6-094974829302.jpg?aki_policy=large,42.3132,-71.11832,1,1,60,25,44,99,0.41,30
197972,https://www.airbnb.com/rooms/197972,Perfect Location--Super Studio!,https://a0.muscache.com/im/pictures/beb8abf9-ffb6-4d19-a50b-afaeab2cb3d8.jpg?aki_policy=large,42.31732,-71.10834,2,1,90,60,388,97,3.68,2
210097,https://www.airbnb.com/rooms/210097,Treetop Haven in the City,https://a0.muscache.com/im/pictures/3726439/e4e357b6_original.jpg?aki_policy=large,42.31864,-71.10641,2,1,90,50,193,97,1.81,3
220676,https://www.airbnb.com/rooms/220676,Private room off the Freedom Trail.,https://a0.muscache.com/im/pictures/2143912/1608e26a_original.jpg?aki_policy=large,42.36539,-71.05438,3,1,95,60,251,98,2.37,3
225224,https://www.airbnb.com/rooms/225224,4th floor office room,https://a0.muscache.com/im/pictures/2042563/527c2e49_original.jpg?aki_policy=large,42.34643,-71.07503,1,1,105,26,318,92,3.02,2
257588,https://www.airbnb.com/rooms/257588,BOSTON LUXURY FOR LESS!!NEAR BCEC,https://a0.muscache.com/im/pictures/16553485/f7699aed_original.jpg?aki_policy=large,42.33066,-71.03984,4,2,200,100,326,97,3.39,2
276450,https://www.airbnb.com/rooms/276450,19th Century Luxury | South End | 1BR 1BA #3,https://a0.muscache.com/im/pictures/f93e9ea0-cf94-48f7-95d6-023cbfbc6f8a.jpg?aki_policy=large,42.33821,-71.07978,4,1,200,0,92,84,0.93,30
295285,https://www.airbnb.com/rooms/295285,"Single Bedroom, Quiet Neighborhood",https://a0.muscache.com/im/pictures/3090800/1d220b6e_original.jpg?aki_policy=large,42.28719,-71.16816,1,1,80,0,30,98,0.35,1
322593,https://www.airbnb.com/rooms/322593,"Near Hospitals, 28 Day Bking Only,OutdoorSpace",https://a0.muscache.com/im/pictures/18603104/dd6c399d_original.jpg?aki_policy=large,42.34232,-71.07594,2,1,125,70,408,96,4.65,28
349347,https://www.airbnb.com/rooms/349347,Experience Past|Enjoy Present|South End 1BR 1BA #2,https://a0.muscache.com/im/pictures/4d3da65e-5660-4be0-859b-4fc89b3b8a7d.jpg?aki_policy=large,42.33824,-71.08171,2,1,200,125,111,88,1.13,30
400067,https://www.airbnb.com/rooms/400067,Private Room in Spacious Apartment1,https://a0.muscache.com/im/pictures/11120143/28ecabf7_original.jpg?aki_policy=large,42.30088,-71.0819,1,1,60,30,24,88,0.28,91
447826,https://www.airbnb.com/rooms/447826,"Sweet Little House in JP, Boston",https://a0.muscache.com/im/pictures/6166713/397dc541_original.jpg?aki_policy=large,42.31658,-71.11012,2,1,71,0,313,96,3.23,3
475254,https://www.airbnb.com/rooms/475254,Spectacular Boston Townhouse in Heart of Boston,https://a0.muscache.com/im/pictures/608bd4b4-e7b5-4cc8-b981-2241912f96c1.jpg?aki_policy=large,42.34846,-71.0681,5,4,6000,250,19,94,0.42,91
496022,https://www.airbnb.com/rooms/496022,"Private Floor, Private Bath, City Location",https://a0.muscache.com/im/pictures/5914846/7bf07a9b_original.jpg?aki_policy=large,42.3092,-71.11836,2,1,200,50,16,99,0.2,91
526970,https://www.airbnb.com/rooms/526970,BACK BAY/COPLEY FIRST FLOOR ROOM,https://a0.muscache.com/im/pictures/72491550/87610c6d_original.jpg?aki_policy=large,42.34523,-71.07282,2,1,148,24,175,90,1.8,2
530983,https://www.airbnb.com/rooms/530983,The Grand View Redline | 5BR 2BA | Victorian Home near Boston Medical and Mass General!,https://a0.muscache.com/im/pictures/fcb37ae5-ce2c-4505-9137-52f5e87d7e15.jpg?aki_policy=large,42.31368,-71.0612,9,5,206,175,67,88,0.73,29
533114,https://www.airbnb.com/rooms/533114,The Sawyer RedLine | 2BR 2.5BA | 1st Floor unit on Redline to Mass General and BMC!,https://a0.muscache.com/im/pictures/f4ef7679-5f10-41ae-b3f8-0b57cb8b23e5.jpg?aki_policy=large,42.3122,-71.0611,6,2,154,150,53,90,0.56,32
533152,https://www.airbnb.com/rooms/533152,The Penthouse Redline | 2BR 1BA | Walk to the Redline for UMass and Mass General!,https://a0.muscache.com/im/pictures/a47538ec-f82d-469f-89ff-3a885c796362.jpg?aki_policy=large,42.32212,-71.06096,5,2,113,150,55,91,0.73,32
