id,listing_url,name,picture_url,latitude,longitude,accommodates,beds,price,cleaning_fee,number_of_reviews,review_scores_rating,reviews_per_month,minimum_nights
8521,https://www.airbnb.com/rooms/8521,SunsplashedSerenity walk to Harvard & Fresh Pond,https://a0.muscache.com/im/pictures/30536/072e0a55_original.jpg?aki_policy=large,42.38329,-71.13617,5,2,150,50,34,95,0.26,3
11169,https://www.airbnb.com/rooms/11169,Lovely Studio Room: Thu-Mons Near Universities!,https://a0.muscache.com/im/pictures/75383179/7e2abd3d_original.jpg?aki_policy=large,42.39469,-71.13223,3,1,105,0,145,95,1.16,2
11945,https://www.airbnb.com/rooms/11945,Near Harvard: Safe & Lovely Room,https://a0.muscache.com/im/pictures/88bf993e-1956-4075-9dae-5d0deec3cd73.jpg?aki_policy=large,42.39454,-71.13431,1,1,75,0,34,98,0.26,3
19581,https://www.airbnb.com/rooms/19581,"Furnished suite, Windsor",https://a0.muscache.com/im/pictures/188f1b4b-f37b-473c-b28c-3962050e6fdc.jpg?aki_policy=large,42.36276,-71.09765,1,1,185,45,6,80,0.05,4
22006,https://www.airbnb.com/rooms/22006,B & B near Harvard's Quad Houses,https://a0.muscache.com/im/pictures/10277743/5814c0d6_original.jpg?aki_policy=large,42.3867,-71.12387,2,1,110,0,86,96,0.87,2
24063,https://www.airbnb.com/rooms/24063,Riverbend Bed and Breakfast,https://a0.muscache.com/im/pictures/2666918/fe5826b6_original.jpg?aki_policy=large,42.37606,-71.14041,1,2,110,0,178,97,1.45,2
26531,https://www.airbnb.com/rooms/26531,CENTRAL LOCATION IN HEART OF CAMBRIDGE,https://a0.muscache.com/im/pictures/08520910-345d-46e1-852f-bf58c29f1e64.jpg?aki_policy=large,42.3719,-71.11569,2,2,200,100,4,80,0.03,4
27498,https://www.airbnb.com/rooms/27498,Furnished suite 2 @ the Windsor,https://a0.muscache.com/im/pictures/bab30c3c-ff3c-4a1c-bbeb-72c3928d2008.jpg?aki_policy=large,42.36381,-71.09754,2,1,250,45,11,88,0.09,5
79762,https://www.airbnb.com/rooms/79762,Cambridge Getaway @ Harvard & MIT,https://a0.muscache.com/im/pictures/540299/82cb0305_original.jpg?aki_policy=large,42.3695,-71.09921,5,3,225,50,350,97,3.15,3
106474,https://www.airbnb.com/rooms/106474,large furnished suite in Central sq,https://a0.muscache.com/im/pictures/f4794a48-e943-40c3-9262-20a38d687750.jpg?aki_policy=large,42.3627,-71.09645,3,1,260,45,15,96,0.14,5
108898,https://www.airbnb.com/rooms/108898,"""The Treehouse"" :  Elegant living near Harvard",https://a0.muscache.com/im/pictures/4382175/5853951c_original.jpg?aki_policy=large,42.38377,-71.13543,4,1,130,50,18,93,0.16,2
219471,https://www.airbnb.com/rooms/219471,"A+ Clean & Safe 1Br @ MIT, Kendall, Back Bay",https://a0.muscache.com/im/pictures/20ea3040-ea3c-4be6-bb05-78b4e3297176.jpg?aki_policy=large,42.36109,-71.10425,2,1,144,120,59,89,0.57,10
231115,https://www.airbnb.com/rooms/231115,HARVARD MIT STANDALONE CARRIAGE HOUSE LOFT!,https://a0.muscache.com/im/pictures/2419060/a3e76d0f_original.jpg?aki_policy=large,42.36771,-71.1058,4,1,225,150,173,98,1.64,30
280304,https://www.airbnb.com/rooms/280304,#17-2 Large 1BR Apt. in Harvard Sq!,https://a0.muscache.com/im/pictures/60347534/7d9f0d7e_original.jpg?aki_policy=large,42.37036,-71.11496,4,1,194,85,57,91,0.79,3
321847,https://www.airbnb.com/rooms/321847,"New condo in Central Sq - 2BR, 2BA",https://a0.muscache.com/im/pictures/3883621/7efb1c99_original.jpg?aki_policy=large,42.36549,-71.098,6,4,300,100,57,96,0.58,2
326170,https://www.airbnb.com/rooms/326170,Two-room suite near Harvard Univ. with parking,https://a0.muscache.com/im/pictures/3537183/d4f057dd_original.jpg?aki_policy=large,42.38247,-71.11403,3,1,110,30,224,97,2.2,1
405144,https://www.airbnb.com/rooms/405144,Apartment in Harvard's Backyard,https://a0.muscache.com/im/pictures/4569264/44b79f6b_original.jpg?aki_policy=large,42.37125,-71.11105,4,1,180,90,54,95,0.54,31
405548,https://www.airbnb.com/rooms/405548,Holidays in Cambridge $150/night (flexible),https://a0.muscache.com/im/pictures/4576262/713620df_original.jpg?aki_policy=large,42.38258,-71.1371,4,4,150,50,2,100,0.02,2
445407,https://www.airbnb.com/rooms/445407,East Cambridge Apartment ,https://a0.muscache.com/im/pictures/5736349/41af1213_original.jpg?aki_policy=large,42.37363,-71.08909,6,6,350,75,49,99,0.5,2
459074,https://www.airbnb.com/rooms/459074,Studio steps from MIT and Harvard!,https://a0.muscache.com/im/pictures/dc8133d7-5d9f-4fe0-b868-39bb480a6015.jpg?aki_policy=large,42.36291,-71.10435,2,1,100,40,381,96,3.89,2
